Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
1,0.0,0.0,1000.0,1.0,1000.0,1000.0,0.09999999999999999,-13.882515151759614,-277.6503030351927,0.0,0.0,,,,,,,,,,,,,,,,-1.0819581543648704,0.6104422746988761,0.015325335957396642,-3.1912609344316443,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,1000.0,1.0,1000.0,2000.0,0.09999999999999999,-13.383369903677668,-267.6673980735533,0.0,7.276365041732788,,,,,,,,,,,,,,,,-1.2890272562230216,0.46116400754600984,-0.05269727621426662,-1.983113319875711,,,,,,,,,,,,,,,,,,,,
3,2.0,0.0,1000.0,1.0,1000.0,3000.0,0.09999999999999999,-18.292901532429468,-365.8580306485881,0.0,14.218914985656738,,,,,,,,,,,,,,,,-1.7824238843685398,0.7673674766572164,0.08485906664723986,-3.216089399775305,,,,,,,,,,,,,,,,,,,,
4,3.0,0.0,1000.0,1.0,1000.0,4000.0,0.09999999999999999,-10.894784420168133,-217.89568840336264,0.0,21.134209156036377,,,,,,,,,,,,,,,,-1.030021406459954,0.8037909713099627,0.3909650085570397,-3.031392502218661,,,,,,,,,,,,,,,,,,,,
5,4.0,0.0,1000.0,1.0,1000.0,5000.0,0.09999999999999999,-11.37113718037347,-227.42274360746933,0.0,27.97655463218689,,,,,,,,,,,,,,,,-1.0088236920039417,0.6178523015178243,0.025143567060804808,-2.5205208042983247,,,,,,,,,,,,,,,,,,,,
6,5.0,0.0,1000.0,1.0,1000.0,6000.0,0.09999999999999999,-13.466120234033891,-269.3224046806787,0.0,34.87577795982361,,,,,,,,,,,,,,,,-1.220552881937167,0.9825310039932914,1.00670217187358,-2.7757035059425457,,,,,,,,,,,,,,,,,,,,
7,6.0,0.0,1000.0,1.0,1000.0,7000.0,0.09999999999999999,-14.286716269084012,-285.73432538168066,0.0,41.771235942840576,,,,,,,,,,,,,,,,-1.3392714393636227,0.7962753037956823,0.48732791183834867,-3.395698237552122,,,,,,,,,,,,,,,,,,,,
8,7.0,0.0,1000.0,1.0,1000.0,8000.0,0.09999999999999999,-9.32060530832844,-186.41210616656917,0.0,48.615914821624756,,,,,,,,,,,,,,,,-0.9454330377588376,0.5584361481801268,0.8615599343626592,-1.8205355938887289,,,,,,,,,,,,,,,,,,,,
9,8.0,0.0,1000.0,1.0,1000.0,9000.0,0.09999999999999999,-17.69412998602225,-353.8825997204459,0.0,55.51505374908447,,,,,,,,,,,,,,,,-1.5712658226511762,0.8730365161799432,0.10851058220774343,-3.5422565186497947,,,,,,,,,,,,,,,,,,,,
10,9.0,0.0,1000.0,1.0,1000.0,10000.0,0.09999999999999999,-9.531179936828018,-190.62359873656044,0.0,62.386666774749756,,,,,,,,,,,,,,,,-0.8624767088947293,0.36713429858600155,0.04844169113811742,-1.6299848908741474,,,,,,,,,,,,,,,,,,,,
11,10.0,0.0,1000.0,1.0,1000.0,11000.0,0.09999999999999999,-10.900867948980732,-218.0173589796146,0.0,69.25324249267578,,,,,,,,,,,,,,,,-0.9695721203168528,0.45761407790040237,0.13490382997185119,-2.2717856878272005,,,,,,,,,,,,,,,,,,,,
12,11.0,0.0,1000.0,1.0,1000.0,12000.0,0.09999999999999999,-12.796807148323085,-255.93614296646214,0.0,76.15536832809448,,,,,,,,,,,,,,,,-1.0743532231442587,0.9433219045800714,0.9534050365282986,-3.21683629075165,,,,,,,,,,,,,,,,,,,,
13,12.0,0.0,1000.0,1.0,1000.0,13000.0,0.09999999999999999,-17.845308381683584,-356.90616763367126,0.0,83.18005275726318,,,,,,,,,,,,,,,,-1.5862252320667047,0.6582306118331999,0.13398994728624536,-3.182536378429518,,,,,,,,,,,,,,,,,,,,
14,13.0,0.0,1000.0,1.0,1000.0,14000.0,0.09999999999999999,-9.135279447093646,-182.7055889418729,0.0,90.38996052742004,,,,,,,,,,,,,,,,-0.928122273637012,0.6051485496393999,0.6576725829208109,-1.9011638244838587,,,,,,,,,,,,,,,,,,,,
