Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
1,0.0,0.0,1000.0,1.0,1000.0,1000.0,0.09999999999999999,-244.86702960605672,-244.86702960605672,0.0,0.0,,,,,,,,,,,,,,,,-21.422115086202826,16.031953678903868,28.62318797162712,-49.09461218902227,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,2000.0,2.0,1000.0,2000.0,0.09999999999999999,,,0.0,2.267932653427124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,3000.0,3.0,1000.0,3000.0,0.09999999999999999,-392.4400440662058,-392.4400440662058,0.0,3.3700270652770996,-7.4368684768644115,-7.4368684768644115,0.0,,,,,,,,,,,,,-36.5554020164,11.8441581936,-0.181027156684,-57.3177423344,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,4000.0,4.0,1000.0,4000.0,0.09999999999999999,,,0.0,5.435332536697388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,5000.0,5.0,1000.0,5000.0,0.09999999999999999,-315.78680544967807,-315.78680544967807,0.0,6.577583312988281,-13.250392912292618,-13.250392912292618,0.0,,,,,,,,,,,,,-29.0522413247,17.6218829789,11.6406848484,-60.2271581537,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,0.0,1000.0,1.0,1000.0,6000.0,0.09999999999999999,,,0.0,11.3908531665802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,0.0,2000.0,2.0,1000.0,7000.0,0.09999999999999999,-419.4983088666921,-419.4983088666921,0.0,12.48157262802124,-7.398234409535762,-7.398234409535762,0.0,,,,,,,,,,,,,-39.3999925936,15.8317679113,-0.12946917357,-72.9738082496,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,0.0,3000.0,3.0,1000.0,8000.0,0.09999999999999999,,,0.0,14.515501976013184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,0.0,4000.0,4.0,1000.0,9000.0,0.09999999999999999,-332.59279907936093,-332.59279907936093,0.0,15.607527256011963,-4.924005376504922,-4.924005376504922,0.0,,,,,,,,,,,,,-31.7476181185,9.58233879642,-1.17666274104,-47.5767297159,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,0.0,5000.0,5.0,1000.0,10000.0,0.09999999999999999,-475.20530309595694,-475.20530309595694,0.0,16.74552583694458,,,,,,,,,,,,,,,,-40.5669885756,15.0421957384,0.156486926777,-80.7121790923,,,,,,,,,,,,,,,,,,,,,,,,
